"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
"1",0,1870,5080,700,400,1240,190,400,1590,200,30,150,70,200,230,50,370,180,60,470,130,800,270,190,450,460,410,50,1590,180,320,510,240,530,200,320,250,70,100,470,500
"2",8560,0,430,330,150,40,30,10,20,0,0,0,0,20,0,0,0,0,0,10,10,70,0,0,0,0,0,0,30,0,20,20,0,0,10,0,0,0,0,120,20
"3",5690,60,0,210,10,30,0,190,90,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,130,120,0,0,0,0,0,0,0,10,0,580,0,950,0,0
"4",1660,60,240,0,180,10,0,0,10,0,0,0,0,0,0,0,0,0,10,30,60,190,40,0,10,0,10,0,0,0,0,0,10,0,0,0,20,0,270,0,0
"5",590,70,20,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,80,0,0
"6",8470,420,230,0,0,0,90,180,10,0,0,10,0,0,0,0,0,0,0,10,10,30,0,0,0,20,50,0,10,0,20,0,20,0,10,0,30,0,0,50,20
"7",5030,440,190,170,10,200,0,90,80,40,0,0,0,0,0,0,0,20,0,10,0,50,0,0,10,10,0,0,10,0,130,0,0,0,10,0,20,20,0,110,0
"8",1750,10,210,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,60,10,0
"9",4660,30,420,40,0,10,0,10,0,500,100,80,20,120,100,20,50,210,0,110,30,60,60,30,20,10,0,0,30,0,0,0,0,10,0,0,140,10,160,10,0
"10",250,0,10,0,0,0,0,0,3450,0,20,40,0,40,10,0,40,10,0,10,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",180,0,10,0,0,0,0,0,2120,40,0,70,0,0,0,90,10,40,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0
"12",910,0,40,0,0,0,0,30,3350,110,90,0,10,30,10,0,40,40,70,50,0,0,0,50,240,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0
"13",740,0,20,10,0,0,0,0,2470,30,0,0,0,120,20,0,10,20,0,170,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0
"14",500,0,20,10,0,0,0,0,2240,110,0,10,70,0,60,0,0,40,0,50,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"15",1470,0,120,10,0,10,0,0,1830,10,0,0,60,170,0,0,40,10,0,580,160,150,110,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,210,0,0
"16",270,0,0,0,0,0,0,0,250,10,10,20,0,0,20,0,360,80,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",350,0,30,0,0,0,0,0,260,0,0,0,0,0,0,100,0,50,80,0,0,0,0,0,0,20,70,10,0,0,0,0,0,0,0,0,0,10,0,0,0
"18",210,0,20,0,0,0,0,0,2190,20,10,10,0,0,0,90,100,0,30,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",160,0,0,0,0,0,0,0,410,10,50,10,0,0,0,190,410,230,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",3410,60,250,20,30,20,0,0,420,0,20,0,30,30,150,0,40,10,0,0,230,310,380,120,0,0,0,0,60,0,0,0,0,0,0,0,70,30,60,0,0
"21",2090,0,130,100,0,0,0,0,70,0,0,0,20,0,40,0,0,10,0,3190,0,170,30,0,0,30,0,0,0,0,0,0,0,0,10,0,350,70,10,0,0
"22",3120,60,170,270,70,30,0,80,30,0,0,0,0,0,10,0,0,0,0,260,20,0,490,40,20,30,20,0,0,0,0,0,0,0,0,0,70,0,10,0,0
"23",2670,0,150,30,30,0,0,0,60,0,10,0,0,20,80,20,0,0,0,1140,10,3020,0,40,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"24",1680,30,220,0,0,0,10,0,920,100,0,110,0,150,20,0,0,0,0,980,0,40,120,0,130,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0
"25",2840,60,400,10,20,0,0,0,470,30,0,30,0,20,0,0,40,10,50,110,0,0,10,50,0,140,50,170,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2860,20,1030,300,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,30,110,20,0,60,0,270,30,0,0,0,0,0,0,0,0,0,0,0,10,0
"27",1420,0,220,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,40,330,0,30,0,0,0,0,0,0,0,0,0,0,10,0,10
"28",300,0,100,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,210,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",12960,50,430,60,40,10,0,0,70,0,0,0,0,0,0,0,40,10,0,10,0,40,0,10,0,0,10,0,0,150,150,180,70,10,0,30,40,0,0,70,10
"30",1880,0,50,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,10,70,20,0,10,0,0,0,0,0,0
"31",3990,60,20,10,0,10,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,710,40,0,10,10,0,0,0,0,0,0,160,2340
"32",1180,10,40,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,30,0,0,20,0,0,0,0,0,0,0,0
"33",1280,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,20,10,510,0,0,10,0,0,0,0,10,0
"34",13360,30,420,80,0,30,0,0,10,0,0,10,0,0,0,0,10,0,0,30,0,0,20,0,10,0,40,0,60,10,0,0,40,0,120,20,30,10,0,30,0
"35",1220,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,40,0,90,0,180,0,30,10,0,0,0,0
"36",3090,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,0,710,0,0,0,0,200,0,0,0,0,0,60,50
"37",2640,30,100,20,10,0,10,0,320,0,0,0,10,10,0,0,10,0,0,480,80,100,20,0,20,0,10,0,0,0,0,0,0,50,10,0,0,220,110,0,0
"38",410,0,20,0,0,0,0,0,180,0,0,0,80,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,1270,0,50,0,0
"39",1800,0,100,20,50,0,0,0,60,0,0,0,0,10,0,0,0,0,0,1100,200,170,20,0,0,0,10,0,10,0,0,0,0,10,0,0,860,30,0,0,0
"40",2780,130,110,40,20,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,30,0,0,40,0,170,0,0,0,0,0,0,0,0,0,20
"41",5770,80,50,20,40,0,20,0,10,10,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,120,0,70,0,0,70,0,0,0,0,0,8220,0
