"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"1",0,1950,70,580,5120,10,250,0,1840,80,70,20,20,0,390
"2",1080,0,970,770,3770,240,100,80,2620,290,380,10,90,90,390
"3",360,2240,0,1120,12340,650,210,440,3240,190,540,0,80,100,160
"4",1190,430,440,0,9120,80,330,30,1110,10,160,100,10,70,1050
"5",3220,4440,20840,8280,0,7960,6660,9870,8780,4370,2090,400,1730,2550,3820
"6",290,120,540,240,7330,0,3470,1270,290,2520,1400,70,100,70,2360
"7",140,160,190,490,3290,3190,0,510,300,1310,570,50,10,40,1680
"8",10,370,780,480,8320,1290,560,0,40,460,1330,10,1110,570,940
"9",1230,2900,760,870,5180,290,120,70,0,290,10,0,60,10,510
"10",570,90,240,740,4020,2580,2850,100,170,0,1940,280,250,160,2490
"11",230,190,270,580,4480,2560,2880,1110,440,5970,0,1270,570,50,400
"12",1150,20,140,1400,1080,160,740,870,80,1270,2270,0,1130,40,1030
"13",130,1450,1090,500,6010,3140,8620,5440,1300,7500,5020,1960,0,920,15950
"14",50,600,1230,340,10180,520,580,2080,380,330,300,220,290,0,4840
"15",460,860,730,1400,9150,2570,5320,1840,3250,4720,290,490,1890,4000,0
