"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"1",0,3200,860,1780,4490,520,180,100,30,50,50,30,50,1010,210,10,100,80,640,10,100,20,170,20,0,20,0
"2",1590,0,1140,1280,6460,480,350,50,50,200,70,90,50,2440,460,130,400,20,640,40,40,0,10,20,20,110,10
"3",430,1110,0,1050,7190,310,930,40,160,190,40,230,80,2560,890,30,270,10,880,30,90,320,170,70,120,50,10
"4",1160,1320,880,0,8400,620,140,60,180,150,60,10,120,1480,1140,1460,650,100,680,0,530,400,660,110,0,20,30
"5",940,3930,6100,6320,0,4550,1350,330,590,630,520,410,260,8270,1460,1090,1190,230,2150,150,810,890,510,130,30,130,180
"6",130,290,310,530,5960,0,2160,3100,5280,1280,3580,1430,760,11080,1090,1120,620,290,1210,100,350,580,690,70,60,380,30
"7",60,650,1900,80,1700,2260,0,1360,980,1980,420,210,450,3740,840,470,430,100,1300,0,90,140,100,40,310,470,30
"8",0,50,380,10,780,3680,1420,0,1770,430,630,590,370,3050,60,60,160,90,440,20,10,40,20,20,40,120,10
"9",0,80,160,190,1790,11800,1370,2660,0,1730,1180,620,540,11230,400,50,370,50,800,0,10,190,160,30,80,70,20
"10",50,100,320,80,1420,1480,1400,540,1070,0,1110,1320,750,7780,1260,250,590,140,1210,30,180,40,100,40,50,670,20
"11",50,180,60,150,610,3310,370,400,830,640,0,960,470,9040,870,420,390,50,770,140,150,180,120,50,20,270,50
"12",100,100,460,70,1290,2660,580,280,1230,1790,1550,0,2510,18560,1090,190,580,140,1760,60,210,260,50,110,20,320,130
"13",0,40,170,210,690,1230,1130,130,310,1160,340,1150,0,12720,2150,480,850,150,5430,170,450,240,150,340,50,1830,250
"14",90,1200,770,900,8520,12260,2140,1780,7880,5970,9880,8380,4700,0,4010,1360,4300,880,11810,410,1160,1280,530,610,390,2370,500
"15",80,210,560,320,1770,1900,480,80,200,1120,890,640,860,8100,0,3390,2900,660,5670,100,780,670,380,430,210,2460,180
"16",0,100,310,530,1250,570,390,10,60,480,360,270,500,4130,6070,0,3790,390,3630,60,200,540,440,420,150,2270,160
"17",70,240,360,370,2290,950,620,180,280,1100,410,720,1460,9210,5930,5650,0,3600,80980,1120,2480,2570,2510,1000,400,3010,1770
"18",0,30,80,0,180,130,50,0,170,180,20,60,370,1220,920,570,730,0,3460,22570,300,380,90,490,70,460,920
"19",10,140,1180,510,2020,1200,720,280,90,570,380,480,970,5800,5470,1670,2030,1380,0,720,6630,98080,2950,100750,3370,1320,590
"20",0,0,10,140,220,160,1030,10,30,270,30,80,240,1230,370,290,310,200,3480,0,870,330,40,4000,50420,250,160
"21",0,30,0,20,40,40,0,10,20,30,0,0,80,270,80,20,220,30,2160,680,0,60,50,60,100,410,21440
"22",10,120,20,110,560,80,80,30,170,150,110,20,400,2760,500,270,19630,80,2910,20,180,0,180,240,20,660,10
"23",280,680,420,340,3730,830,450,160,510,950,500,630,3540,21510,3800,1480,8110,3240,193180,1320,4280,3730,0,2490,1650,3000,1660
"24",0,30,90,250,670,430,110,40,60,60,80,100,90,1420,940,290,2060,360,3810,150,520,1880,69340,0,200,210,200
"25",90,10,30,100,250,240,30,10,200,70,140,70,450,2930,1050,530,2640,53390,15010,50,2040,890,180,310,0,460,230
"26",0,100,210,180,780,400,210,30,110,130,220,200,580,3930,4870,780,1110,990,16740,140,123340,3110,750,2190,940,0,890
"27",10,80,80,60,400,400,120,40,150,210,310,450,1000,4370,2800,3150,1540,240,4460,200,360,220,130,240,160,62390,0
