"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"1",0,820,260,1560,500,840,860,500,380,1300,240,760,700,460,300,440
"2",820,0,3440,6140,1280,1580,1760,1040,740,1580,1140,1300,1300,760,720,280
"3",640,4560,0,9480,1460,940,2180,840,2480,2580,720,1600,1360,1620,1060,920
"4",1980,6940,13220,0,3220,5040,17280,3140,29120,12800,3440,4000,5220,2640,1240,4140
"5",180,780,420,2600,0,1100,1920,3020,4080,15380,720,680,4360,2180,1240,19720
"6",560,1640,640,4900,1980,0,4440,1980,32740,10100,2560,7840,2740,900,360,2340
"7",2860,5440,3320,35180,2960,8140,0,1640,26340,12320,5940,6840,2500,1180,1400,3640
"8",160,500,880,1980,1760,600,2700,0,2760,4440,660,960,5700,4480,7460,5320
"9",680,1380,1760,13740,3840,23900,12140,2240,0,10900,9820,2720,3000,2540,1560,5980
"10",680,1820,1960,7440,12240,3840,5520,3480,10020,0,2800,2500,9600,3000,2300,8160
"11",1020,3140,1940,15460,1560,5120,9320,800,32660,6240,0,1400,780,620,480,1700
"12",800,2500,1180,8940,880,6200,6900,2380,6820,4680,860,0,3560,1180,500,1600
"13",640,1180,1140,11540,4460,3120,3260,10520,6640,15620,840,3880,0,12600,4380,10680
"14",80,560,1120,2400,2080,860,1760,5080,6220,7140,500,480,8220,0,7180,6080
"15",420,760,840,2360,3700,1520,1180,17120,5620,6280,640,880,13040,27980,0,23380
"16",100,460,280,1500,5260,780,1720,3660,3040,5460,760,580,1720,1760,2280,0
