"Code",1,2,3,4,5,6,7,8,9,10,11,12
"1",0,8360,2040,1850,330,800,810,1130,1030,920,1690,2710
"2",16210,0,1020,1160,320,110,130,590,600,2030,12280,7520
"3",24100,2210,0,2440,360,180,470,770,230,580,1710,3000
"4",11800,2450,2320,0,1480,390,270,120,170,240,540,1710
"5",4590,3130,2600,6030,0,1390,270,40,70,270,640,1900
"6",7510,250,430,360,380,0,750,270,170,80,300,270
"7",6150,830,2250,320,310,730,0,2470,40,70,240,1150
"8",5540,990,2000,50,100,200,1030,0,2270,7880,840,1420
"9",5870,4130,370,220,80,220,110,5510,0,3280,14280,4990
"10",5530,2930,80,180,40,70,130,450,350,0,26150,870
"11",2500,650,130,120,40,40,0,330,60,1490,0,1630
"12",6760,2470,470,500,130,250,200,1210,250,400,5140,0
