"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
"1",0,42860,45620,4020,2190,1220,3550,2080,860,370,500,1120,250,650,790,360,740,580,920,170,580,0,1220,1050,2140,250,220,970,4580,4940,2240,1600,540,2590
"2",9670,0,17430,1070,750,340,1250,310,140,120,130,340,70,130,150,100,220,110,330,40,310,0,130,250,200,80,100,290,1540,1380,860,450,30,290
"3",12240,11060,0,2690,880,430,1370,350,190,170,130,310,90,130,140,60,150,140,390,110,280,0,250,510,420,190,50,230,2380,1420,1070,270,20,430
"4",9660,4370,6620,0,740,380,1620,480,210,210,240,360,80,130,110,20,300,60,340,70,180,10,170,200,480,80,170,360,2000,1790,1180,390,50,350
"5",2470,570,1250,310,0,4640,8090,360,0,200,120,90,20,50,60,20,40,100,90,10,80,0,40,10,80,40,30,150,380,520,170,10,0,50
"6",2160,380,940,260,2270,0,9930,180,100,320,350,200,20,180,20,100,60,360,160,20,50,0,110,30,180,20,20,140,200,630,100,40,20,40
"7",3010,640,1790,340,2470,4270,0,210,130,1260,560,410,130,60,120,110,680,1430,510,140,100,0,180,60,240,220,30,220,920,1080,810,0,20,190
"8",2960,340,1410,240,50,210,270,0,2330,1880,170,810,40,140,50,10,30,30,10,0,80,0,50,20,40,30,0,240,1630,140,290,40,0,140
"9",1170,190,1000,80,0,30,250,5390,0,1450,150,940,230,80,110,10,10,90,40,0,0,0,0,20,90,40,10,20,620,90,120,0,20,20
"10",740,160,830,150,40,200,1930,4740,2430,0,530,480,30,130,110,20,10,70,130,0,60,20,60,20,120,0,0,240,600,190,270,0,0,40
"11",2150,480,970,290,30,240,2020,340,230,800,0,7550,3180,930,260,150,30,190,100,270,190,30,130,60,80,50,50,1130,890,430,230,50,20,100
"12",3590,760,1990,520,40,360,1260,1000,990,690,4330,0,3370,260,200,20,80,170,370,30,130,0,160,70,560,30,0,390,1010,690,280,50,30,260
"13",1510,350,930,460,10,90,910,170,550,90,3580,7620,0,400,710,20,30,30,160,10,10,0,140,0,70,10,50,170,520,150,140,0,10,220
"14",860,250,880,110,20,10,180,50,20,110,140,40,0,0,4240,3030,40,0,30,0,10,0,190,50,150,40,80,180,170,130,80,160,30,460
"15",1460,270,770,90,20,70,50,40,50,0,0,130,80,4600,0,3750,20,40,90,10,10,0,130,60,100,10,50,80,280,170,70,810,70,2070
"16",480,60,380,60,60,10,70,140,0,10,70,80,10,3700,4160,0,0,60,120,0,10,10,70,30,60,50,60,670,210,100,670,110,90,170
"17",860,170,980,240,170,130,2990,60,10,260,90,50,0,0,0,0,0,970,1670,20,20,0,170,0,200,50,0,0,200,260,990,20,0,0
"18",540,230,930,190,130,150,1530,290,0,280,240,240,10,40,0,20,1110,0,1660,40,130,130,170,180,230,10,20,170,100,510,480,10,0,20
"19",620,170,940,150,210,30,1710,10,0,110,110,80,10,20,20,20,700,740,0,10,0,0,280,10,570,0,0,70,230,230,330,30,0,10
"20",810,360,500,50,0,40,60,0,0,0,20,20,0,10,30,20,10,10,0,0,940,180,70,120,70,100,0,20,60,80,120,0,0,0
"21",1210,720,1290,110,0,80,60,20,0,10,60,110,10,0,20,50,0,50,50,1440,0,150,300,280,130,140,30,130,150,220,50,10,0,30
"22",350,230,490,50,0,40,50,0,0,0,20,20,0,10,30,20,10,40,20,1490,1520,0,60,100,100,160,10,190,130,100,40,0,0,10
"23",1460,340,710,220,10,10,160,90,10,10,40,20,10,180,40,0,80,90,200,60,110,0,0,5300,4600,20,60,60,400,350,270,60,50,30
"24",1850,840,1390,150,10,50,90,20,600,30,20,170,20,100,170,40,50,350,90,130,480,20,4070,0,3930,110,80,260,300,330,130,30,80,190
"25",1880,430,820,190,10,70,140,130,40,20,10,160,40,10,10,110,120,110,230,20,40,0,3990,5110,0,10,0,320,520,310,150,220,60,100
"26",1010,360,430,40,10,30,80,40,0,20,80,40,0,80,0,110,40,0,180,70,200,50,40,10,90,0,1130,5080,50,150,60,0,0,40
"27",460,110,390,100,0,20,90,20,30,10,110,50,20,220,0,100,20,30,20,30,170,10,0,40,80,2040,0,6360,160,120,50,20,0,10
"28",700,210,310,110,60,50,250,80,40,70,180,30,0,320,10,480,10,20,120,30,110,10,30,110,140,2410,1220,0,320,230,260,20,20,40
"29",5030,900,2740,1760,280,130,1510,1320,660,90,220,190,60,260,70,40,260,80,140,20,70,0,170,190,610,200,20,300,0,4600,2070,40,20,290
"30",5280,670,2910,880,250,250,2140,150,40,110,150,250,10,60,170,10,320,310,240,10,160,10,200,270,530,60,110,290,3690,0,4770,70,30,210
"31",2630,510,1980,490,110,160,3050,240,100,100,90,100,60,50,120,170,390,40,420,20,30,10,140,60,370,100,10,300,3170,4980,0,60,20,80
"32",3230,350,1390,240,10,40,160,50,120,0,70,130,100,250,740,60,40,10,100,20,30,0,70,20,110,20,10,120,850,530,270,0,990,8330
"33",1850,230,910,290,10,70,160,50,60,0,100,120,50,110,60,90,10,10,60,20,30,0,90,40,170,40,10,100,310,310,220,980,0,6100
"34",3360,530,1690,590,0,0,140,150,80,30,40,190,40,340,630,30,50,10,30,10,10,0,130,50,250,10,30,150,470,330,300,1610,890,0
