"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"1",0,1416,1644,1458,194,19409,1499,374,296,111,473,315,197,263,217,223,341,68,225,90,51,0,106,32,34
"2",1151,0,5345,526,446,14112,1387,110,381,225,425,350,367,229,414,65,402,145,13,62,64,0,218,196,16
"3",767,1259,0,892,395,4618,554,249,135,65,319,302,17,11,57,55,145,89,119,82,76,0,25,30,164
"4",897,1326,2071,0,2960,6196,1623,238,333,214,136,392,139,71,147,95,185,47,40,109,25,0,0,70,19
"5",299,363,1232,1457,0,5677,4799,181,1406,274,1395,151,6,173,22,17,80,171,300,103,67,16,14,1416,69
"6",13952,15520,3430,2994,3207,0,14580,6330,8822,1668,9489,4869,1608,499,1633,4575,842,3651,3949,5180,4348,767,204,1908,498
"7",779,1852,1329,1118,2754,39746,0,5534,4030,1268,1866,672,215,116,366,442,92,49,181,358,250,0,0,34,0
"8",185,429,409,188,270,21527,3999,0,1391,532,2098,1254,142,1,327,2960,124,79,159,123,265,0,13,65,14
"9",106,242,511,347,3495,13632,4578,1366,0,2471,734,310,60,1,115,721,0,31,27,76,133,0,0,34,31
"10",81,127,29,120,247,3973,1477,828,1826,0,164,358,1,24,367,1334,31,13,12,17,80,31,25,15,18
"11",737,463,808,215,214,37349,5430,2232,505,261,0,6995,2020,120,469,152,118,79,499,221,237,4,7,16,19
"12",132,342,1847,200,1851,22410,3529,2767,332,164,5381,0,362,439,465,1094,173,124,437,1429,126,0,13,0,0
"13",44,118,67,398,346,9918,1229,306,155,287,3658,668,0,1567,3740,273,35,0,65,634,202,0,0,35,0
"14",15,58,200,34,308,5513,1314,580,443,103,430,1064,1556,0,8431,157,15,0,5,379,215,13,0,15,19
"15",150,303,106,152,221,16386,2002,852,585,354,1477,1424,38943,1727,0,436,0,142,15,6748,2171,0,10,15,0
"16",12,0,90,31,96,4858,632,7388,654,965,132,278,148,0,152,0,3550,563,53,49,118,33,6937,1349,19
"17",0,0,0,33,10,1464,74,994,0,11,10,27,132,61,6,5254,0,661,96,14,11,1083,0,1464,1112
"18",12,9,19,0,53,3320,11,1059,10,12,51,93,1,18,861,209,4277,0,26,1508,63,29,0,0,15
"19",0,0,85,0,380,2095,529,631,54,23,753,68,617,0,6,84,115,177,0,1720,7300,1347,2056,1514,18
"20",0,9,0,10,21,2907,331,493,76,0,296,1036,466,332,1331,111,65,13,2979,0,1013,88,64,3780,80
"21",0,52,106,10,0,2313,195,324,22,0,181,127,25,68,1310,16,75,46,11089,2562,0,377,98,166,84
"22",0,0,0,38,9,949,42,185,0,0,11,36,0,0,1,62,5266,212,4470,169,774,0,106,925,0
"23",0,0,16,0,0,2031,44,367,0,0,94,0,371,0,1,104,383,6087,442,62,989,239,0,2101,6053
"24",0,0,468,10,0,3694,11,315,66,0,32,34,0,26,30,357,1691,149,2201,332,356,386,5207,0,4839
"25",0,0,0,0,30,1288,0,57,0,86,0,12,51,0,555,193,2057,0,28,165,114,0,314,5144,0
